time_s,voltage_v,current,temperature_c
0.0,2.9996068,2.1587039,26.384377
1.0,2.9994066,2.2876738,26.227879
2.0,2.9997571,2.2282798,26.449251
3.0,2.9998572,2.2248857,26.277494
4.0,2.9999576,2.1349463,26.380539
5.0,2.9994066,2.148522,26.254581
6.0,2.9995568,2.1468252,26.262211
7.0,2.9994066,2.0789463,26.418709
8.0,2.9994066,2.0670674,26.380539
9.0,2.9995568,2.0789463,26.143908
10.0,2.9995568,2.0925222,26.193523
11.0,2.9992561,2.1128855,26.327108
12.0,2.999707,2.0670674,26.262211
13.0,3.1003382,-19.932451,26.17824
14.0,3.1121094,-20.000328,26.26605
15.0,3.121376,-19.981662,26.37291
16.0,3.1294405,-19.920572,26.285124
17.0,3.1372046,-19.971482,26.330923
18.0,3.1439166,-19.969783,26.350021
19.0,3.1503782,-19.995238,26.235508
20.0,3.1566896,-20.007117,26.231693
21.0,3.1622496,-19.927359,26.17824
22.0,3.1679599,-19.95451,26.159166
23.0,3.1731193,-19.973178,26.185894
24.0,3.178529,-19.934148,26.277494
25.0,3.1831872,-19.979967,26.220226
26.0,3.1878958,-19.991846,26.17824
27.0,3.1927044,-19.985057,26.258396
28.0,3.1967118,-19.968086,26.361465
29.0,3.2011697,-19.959602,26.231693
30.0,3.2057281,-19.956207,25.865269
31.0,3.2098353,-19.969783,26.212597
32.0,3.2137926,-19.991846,26.220226
33.0,3.2180502,-19.976572,26.155352
34.0,3.2218571,-19.935844,26.056099
35.0,3.2260144,-19.94942,26.182055
36.0,3.2295208,-19.935844,26.075195
37.0,3.2331274,-20.025783,26.26605
38.0,3.2367837,-19.974873,26.098083
39.0,3.2400899,-19.969783,26.07901
40.0,3.2436461,-19.906996,26.094269
41.0,3.2472527,-19.939238,26.113367
42.0,3.2506588,-19.917178,25.979757
43.0,3.2539649,-19.951117,26.063751
44.0,3.25687,-19.947725,26.155352
45.0,3.2603762,-19.932451,25.964499
46.0,3.2633817,-19.940936,26.033211
47.0,3.2668381,-19.951117,26.14007
48.0,3.2697432,-19.97827,26.056099
49.0,3.2727988,-19.912086,26.17061
50.0,3.2754035,-20.003723,26.239323
51.0,3.2785089,-19.942631,25.991224
52.0,3.2809634,-19.951117,26.27368
53.0,3.284019,-19.944328,26.006483
54.0,3.286824,-19.968086,26.120996
55.0,3.289629,-19.959602,26.17824
56.0,3.2919831,-19.95451,25.975943
57.0,3.2949886,-19.95451,26.014112
58.0,3.2974432,-19.935844,25.861429
59.0,3.300148,-19.990146,26.101898
60.0,3.3028529,-19.910389,25.968313
61.0,3.3051069,-20.00542,25.995039
62.0,3.308012,-19.947725,25.983572
63.0,3.3105166,-19.97827,25.960684
64.0,3.3129711,-19.95451,25.995039
65.0,3.3152251,-19.903602,26.059914
66.0,3.31793,-19.964693,25.995039
67.0,3.319633,-19.974873,25.972128
68.0,3.3223379,-19.929055,25.941586
69.0,3.3245418,-19.969783,26.071381
70.0,3.3271966,-19.92227,26.033211
71.0,3.3293505,-19.918875,25.991224
72.0,3.331805,-20.003723,26.216412
73.0,3.3338587,-19.995238,26.04847
74.0,3.3359122,-19.927359,25.930141
75.0,3.3382165,-19.940936,25.891972
76.0,3.3408713,-19.910389,25.830912
77.0,3.3428247,-19.985057,25.937771
78.0,3.3443775,-19.968086,26.010298
79.0,3.346782,-19.947725,25.899601
80.0,3.3493364,-19.940936,25.998854
81.0,3.3513401,-19.998633,25.960684
82.0,3.3530431,-19.917178,25.872898
83.0,3.3553474,-20.018994,25.991224
84.0,3.3570004,-19.959602,25.891972
85.0,3.359555,-19.951117,26.04847
86.0,3.3611076,-19.951117,25.876713
87.0,3.3632615,-19.964693,26.014112
88.0,3.3650649,-19.979967,25.914883
89.0,3.3671186,-19.97827,25.808001
90.0,3.3689718,-19.952814,25.888157
91.0,3.3710256,-19.935844,25.808001
92.0,3.3724782,-19.946027,25.907253
93.0,3.3746321,-19.986754,25.960684
94.0,3.3765354,-19.983359,25.903416
95.0,3.3783889,-19.983359,25.933956
96.0,3.3802421,-19.976572,25.81563
97.0,3.3821456,-19.886633,25.708771
98.0,3.3843496,-19.923965,25.94924
99.0,3.3859525,-20.012209,25.865269
100.0,3.3877056,-19.959602,25.785112
101.0,3.3891082,-19.934148,25.746941
102.0,3.390661,-19.934148,25.773643
103.0,3.3925643,-19.983359,25.640059
104.0,3.394568,-19.932451,25.918697
105.0,3.3957701,-19.95451,25.834726
106.0,3.3978238,-19.964693,25.785112
107.0,3.3995268,-19.969783,25.926327
108.0,3.40133,-19.939238,25.914883
109.0,3.4024823,-20.003723,25.94924
110.0,3.4046361,-19.962996,25.743103
111.0,3.4058883,-19.979967,25.781273
112.0,3.4079421,-19.97827,25.880527
113.0,3.4095449,-19.918875,25.682043
114.0,3.411298,-19.925662,25.643873
115.0,3.4127507,-19.969783,25.872898
116.0,3.4142034,-19.946027,25.720215
117.0,3.4159565,-19.94942,25.792742
118.0,3.4175093,-19.951117,25.830912
119.0,3.4189618,-20.010512,25.869083
120.0,3.4203143,-19.988449,25.750755
121.0,3.4220173,-19.956207,25.624775
122.0,3.4233699,-19.985057,25.659132
123.0,3.425173,-19.915482,25.922512
124.0,3.4267259,-19.966391,25.781273
125.0,3.4278278,-19.929055,25.743103
126.0,3.4293807,-19.976572,25.735474
127.0,3.4309335,-19.962996,25.857615
128.0,3.4321856,-19.946027,25.682043
129.0,3.4337385,-19.962996,25.933956
130.0,3.4352412,-19.917178,25.609516
131.0,3.4368942,-19.959602,25.666784
132.0,3.4383469,-19.915482,25.640059
133.0,3.4394989,-19.937541,25.678228
134.0,3.4411018,-19.986754,25.762199
135.0,3.4427047,-19.974873,25.575161
136.0,3.4437566,-19.932451,25.666784
137.0,3.4453595,-19.929055,25.827097
138.0,3.4467618,-19.957904,25.575161
139.0,3.4480143,-19.920572,25.598072
140.0,3.4492164,-19.969783,25.911068
141.0,3.4506691,-19.95451,25.739288
142.0,3.4518211,-20.000328,25.941586
143.0,3.4532735,-19.917178,25.594257
144.0,3.454576,-19.94942,25.701117
145.0,3.4561288,-19.971482,25.590443
146.0,3.4572809,-19.94942,25.617146
147.0,3.458533,-19.964693,25.624775
148.0,3.4596851,-19.939238,25.544619
149.0,3.4611878,-19.937541,25.678228
150.0,3.4625404,-19.971482,25.609516
151.0,3.4638426,-19.94942,25.704931
152.0,3.4651451,-19.912086,25.903416
153.0,3.4666476,-19.95451,25.7164
154.0,3.4674993,-19.944328,25.720215
155.0,3.469002,-19.979967,25.632429
156.0,3.470154,-19.942631,25.586628
157.0,3.4715567,-19.993541,25.544619
158.0,3.4732096,-19.952814,25.640059
159.0,3.4737606,-19.973178,25.708771
160.0,3.4752131,-19.969783,25.743103
161.0,3.4759645,-19.896813,25.601887
162.0,3.4775674,-19.969783,25.720215
163.0,3.4787695,-19.959602,25.659132
164.0,3.4799716,-20.002027,25.762199
165.0,3.4812241,-19.918875,25.636244
166.0,3.4823761,-19.983359,25.567532
167.0,3.4835281,-19.951117,25.495005
168.0,3.4844799,-19.942631,25.52173
169.0,3.4856319,-20.010512,25.506472
170.0,3.4870343,-19.962996,25.601887
171.0,3.487936,-19.985057,25.594257
172.0,3.4891882,-20.015602,25.811815
173.0,3.4906909,-19.935844,25.544619
174.0,3.4911418,-19.939238,25.636244
175.0,3.4924943,-19.995238,25.624775
176.0,3.4935963,-19.988449,25.75457
177.0,3.4951992,-19.97827,25.678228
178.0,3.4961007,-19.971482,25.52936
179.0,3.4968021,-19.971482,25.601887
180.0,3.4983046,-19.957904,25.632429
181.0,3.4992063,-19.947725,25.678228
182.0,3.5004084,-19.920572,25.624775
183.0,3.5014102,-19.95451,25.727844
184.0,3.5026124,-19.993541,25.52936
185.0,3.5036643,-19.979967,25.506472
186.0,3.5045159,-19.959602,25.712585
187.0,3.505718,-19.961299,25.598072
188.0,3.5069704,-19.917178,25.643873
189.0,3.5077217,-19.925662,25.43013
190.0,3.5091743,-20.035965,25.552273
191.0,3.5102763,-19.908693,25.533175
192.0,3.5105767,-19.951117,25.514101
193.0,3.5123801,-19.986754,25.575161
194.0,3.5133317,-19.910389,25.433945
195.0,3.5140331,-19.968086,25.628614
196.0,3.5150349,-19.976572,25.640059
197.0,3.5164373,-19.946027,25.563717
198.0,3.5171888,-19.951117,25.659132
199.0,3.5181403,-19.937541,25.58279
200.0,3.5187917,-19.983359,25.540804
201.0,3.5199437,-19.976572,25.62096
202.0,3.5210457,-19.937541,25.441574
203.0,3.5220475,-19.925662,25.536989
204.0,3.5230494,-19.935844,25.487375
205.0,3.5237505,-19.95451,25.548458
206.0,3.5249026,-19.988449,25.624775
207.0,3.5256538,-19.942631,25.536989
208.0,3.5268562,-19.900209,25.571346
209.0,3.5280583,-19.966391,25.407219
210.0,3.5287094,-19.937541,25.548458
211.0,3.529511,-19.993541,25.689672
212.0,3.5307631,-19.97827,25.571346
213.0,3.5310638,-19.979967,25.479746
214.0,3.5325162,-19.951117,25.556087
215.0,3.5334179,-19.988449,25.475931
216.0,3.5344698,-19.942631,25.540804
217.0,3.5353715,-19.998633,25.25835
218.0,3.5359225,-19.981662,25.433945
219.0,3.5370245,-19.95451,25.49119
220.0,3.5377758,-19.890027,25.514101
221.0,3.5387275,-19.920572,25.357603
222.0,3.5397794,-19.930754,25.49119
223.0,3.5402303,-19.918875,25.662947
224.0,3.5414824,-19.94942,25.640059
225.0,3.5419834,-19.932451,25.563717
226.0,3.5433357,-19.993541,25.525545
227.0,3.5440872,-19.95451,25.552273
228.0,3.5447884,-19.952814,25.43013
229.0,3.5456901,-19.957904,25.479746
230.0,3.546792,-19.94942,25.403404
231.0,3.5473931,-19.951117,25.376677
232.0,3.548445,-19.929055,25.460648
233.0,3.5488458,-19.929055,25.540804
234.0,3.549547,-19.930754,25.628614
235.0,3.5505488,-19.981662,25.464462
236.0,3.5515006,-19.981662,25.533175
237.0,3.552352,-19.983359,25.441574
238.0,3.5533538,-19.996936,25.39959
239.0,3.5542054,-20.002027,25.498819
240.0,3.5543556,-19.976572,25.437759
241.0,3.5554075,-19.939238,25.460648
242.0,3.5559585,-19.968086,25.39959
243.0,3.5567601,-19.981662,25.556087
244.0,3.5574613,-20.015602,25.609516
245.0,3.5581625,-19.981662,25.536989
246.0,3.5590141,-19.930754,25.39196
247.0,3.5596151,-19.969783,25.559902
248.0,3.560066,-19.961299,25.464462
249.0,3.5609674,-19.95451,25.433945
250.0,3.5619192,-19.934148,25.418663
251.0,3.5623701,-19.901906,25.506472
252.0,3.5629711,-19.951117,25.323248
253.0,3.5638728,-19.991846,25.39196
254.0,3.5646241,-19.959602,25.449203
255.0,3.5651751,-19.995238,25.475931
256.0,3.565676,-19.912086,25.58279
257.0,3.5661268,-19.957904,25.285076
258.0,3.5665276,-19.940936,25.380491
259.0,3.5670285,-19.964693,25.334692
260.0,3.5680804,-19.962996,25.52936
261.0,3.5680804,-19.901906,25.384306
262.0,3.5683808,-19.966391,25.338507
263.0,3.5689819,-19.979967,25.567532
264.0,3.5697834,-19.97827,25.437759
265.0,3.5699337,-19.920572,25.407219
266.0,3.5699337,-19.981662,25.30415
267.0,3.5707352,-19.988449,25.460648
268.0,3.5710857,-19.973178,25.380491
269.0,3.5717368,-19.988449,25.441574
270.0,3.5720375,-19.976572,25.52936
271.0,3.5726385,-19.944328,25.323248
272.0,3.5727887,-19.97827,25.43013
273.0,3.5729892,-20.010512,25.292706
274.0,3.5731895,-19.971482,25.353788
275.0,3.5734401,-20.008814,25.540804
276.0,3.5736904,-19.974873,25.472116
277.0,3.5742414,-19.993541,25.456833
278.0,3.5744417,-19.974873,25.613331
279.0,3.5743916,-19.959602,25.342321
280.0,3.5751932,-19.959602,25.422478
281.0,3.5754936,-19.937541,25.514101
282.0,3.5755939,-19.946027,25.380491
283.0,3.5756941,-19.986754,25.330877
284.0,3.5762451,-19.908693,25.506472
285.0,3.5762451,-19.966391,25.52936
286.0,3.5762951,-19.964693,25.307989
287.0,3.5765958,-19.920572,25.376677
288.0,3.5770464,-19.934148,25.338507
289.0,3.577297,-19.964693,25.472116
290.0,3.5774472,-19.934148,25.559902
291.0,3.5777478,-19.966391,25.514101
292.0,3.5777979,-19.947725,25.411034
293.0,3.5781484,-19.986754,25.544619
294.0,3.5781484,-19.915482,25.361418
295.0,3.5790501,-20.000328,25.311804
296.0,3.5785992,-19.940936,25.285076
297.0,3.5786994,-19.946027,25.43013
298.0,3.5789499,-19.946027,25.372862
299.0,3.5792003,-19.952814,25.495005
300.0,3.5792503,-19.956207,25.49119
301.0,3.5792503,-19.961299,25.449203
302.0,3.579601,-19.94942,25.533175
303.0,3.579551,-19.97827,25.624775
304.0,3.5797012,-20.00542,25.483561
305.0,3.5800018,-19.927359,25.43013
